Ερώτηση;Α;Β;Γ;Δ;Σωστή
1. Σκοπός της αξιολόγησης των δημόσιων πολιτικών είναι να:;Προσδιοριστεί το περιεχόμενο που θα έχει η τελική απόφαση για την αντιμετώπιση ενός δημόσιου προβλήματος;Εκτιμηθεί σε ποιον βαθμό με την εφαρμοσθείσα δημόσια πολιτική επήλθαν τα προσδοκώμενα αποτελέσματα;Διαπιστωθεί η καταλληλότητα της χρονικής συγκυρίας, ώστε να ληφθούν αποφάσεις;Καθοριστεί ποιοι θα επιφορτιστούν με την εκτέλεση των αποφάσεων και την υλοποίηση της πολιτικής;Β
2. Η στοχοθεσία εντάσσεται στα καθήκοντα ενός διοικητικού στελέχους για:;Προγραμματισμό;Οργάνωση;Παρακίνηση;Συντονισμό;Α
3. Η διαδικασία της οργάνωσης είναι μια διοικητική λειτουργία που αποσκοπεί:;Στην ανάλυση του περιβάλλοντος;Στην πρόβλεψη;Στην οριοθέτηση των ρόλων και των καθηκόντων των εργαζομένων;Στην παρακίνηση των εργαζομένων;Γ
4. Οι σύγχρονες απόψεις στη θεωρία των οργανώσεων για την αποτελεσματικότερη λειτουργία μιας οργάνωσης, προϋποθέτουν:;Συγκεντρωτισμό των αρμοδιοτήτων;Περιορισμό των ευθυνών των αρμοδίων προσώπων;Αναφορά κάθε εργαζόμενου/ης σε έναν/μία Προϊστάμενο/η ή συντονιστή/τρια;Εξατομικευμένη εργασία κάθε εργαζομένου/ης βάσει των προσόντων του/ης;Δ
5. Σημειώστε ποιο από τα παρακάτω ΔΕΝ αποτελεί χαρακτηριστικό του ποιοτικού στυλ διοίκησης:;Η διά βίου επιμόρφωση των εργαζομένων;Το συμμετοχικό στυλ διοίκησης;Οι κύκλοι ποιότητας;Η ατομική λήψη των αποφάσεων;Δ
6. Στη λήψη στρατηγικών αποφάσεων ένα διοικητικό στέλεχος λαμβάνει υπόψη:;Το εσωτερικό περιβάλλον του οργανισμού;Το εξωτερικό περιβάλλον του οργανισμού; Και τα δύο είδη περιβάλλοντος; Κινείται και αποφασίζει με βάση τις προσωπικές του γνώσεις και εμπειρίες;Γ
7. Τι από τα παρακάτω αποτελεί πρόκληση για ένα σύγχρονο διοικητικό στέλεχος:; Η διαχείριση της αλλαγής; Η διαχείριση της μάθησης; Η διαχείριση της επικοινωνίας; Όλες οι λοιπές απαντήσεις;Δ
8. Η αναγκαιότητα για μεγάλης κλίμακας αλλαγές (ανασχεδιασμός διαδικασιών, έμφαση σε προγράμματα ενίσχυσης της ποιότητας, συγχωνεύσεις, κ.ά.) οφείλονται σε διάφορους λόγους, ένας εκ των οποίων αναφέρεται παρακάτω:"; Οι πολεμικές συγκρούσεις;" Η ραγδαία ανάπτυξη και εξέλιξη της τεχνολογίας, κυρίως στον τομέα των επικοινωνιών, των μεταφορών και των δικτύων πληροφοριών"; Οι ραγδαίες εξελίξεις στον κλάδο της ενέργειας; Οι αυξήσεις στις τιμές των παρεχόμενων υπηρεσιών;Β
9. Ο συνδυασμός καινοτομίας και ποιότητας είναι αναγκαίος για:; Την εφαρμογή των αλλαγών στους οργανισμούς και στις υπηρεσίες; Την επιβίωση των οικονομικών μονάδων και τη βελτίωση της ανταγωνιστικότητας των εθνικών οικονομιών; Την αποτελεσματικότητα των διαδικασιών; Την επέκταση της χρήσης της σύγχρονης τεχνολογίας από τους πολίτες για την αρτιότερη εξυπηρέτηση των αιτημάτων τους;Β
10. Ο Ανασχεδιασμός των Επιχειρησιακών Διαδικασιών (Business Process Reengineering - BPR) είναι η μεθοδολογία που:; Τονίζει την εξαρχής δημιουργία διαδικασιών και τις εκ βάθρων αλλαγές σε έναν οργανισμό; Αυτοματοποιεί τις επιχειρηματικές διαδικασίες; Βελτιστοποιεί την ποιότητα των παρεχόμενων υπηρεσιών; Ορθολογοποιεί τη ροή εργασιών σε μια μονάδα, κάνοντάς την περισσότερο αποδοτική, αποτελεσματική και ικανή να προσαρμόζεται σε ένα ραγδαία μεταβαλλόμενο εξωτερικό περιβάλλον;Α
11. Η κοινωνική ευθύνη:; Αναφέρεται στους κανόνες που διέπουν τη προσωπική ζωή ενός ατόμου; Δίνει έμφαση σε αξίες που οφείλουν να υιοθετήσουν οι σύγχρονοι δημόσιοι οργανισμοί, όπως η αλήθεια και η δικαιοσύνη; Είναι η υποχρέωση της δημόσιας οικονομικής μονάδας για επίτευξη μακροχρόνιων στόχων προς όφελος της κοινωνίας; Είναι η προσπάθεια εναρμόνισης της λειτουργίας και της πολιτικής ενός δημόσιου οργανισμού με το κοινωνικό περιβάλλον σε όρους ωφέλειας για τον ίδιο και την κοινωνία;Δ
12. Το σχέδιο του ετήσιου προγραμματισμού για τις προσλήψεις του επόμενου έτους εγκρίνεται από:; Το Ανώτατο Συμβούλιο Επιλογής Προσωπικού (Σ.Ε.Π.); Το Υπουργείο Εσωτερικών; Το Υπουργείο Οικονομικών; Το Υπουργικό Συμβούλιο;Δ
13. Ποια από τις παρακάτω διαδικασίες έπεται του ετήσιου προγραμματισμού ανθρώπινου δυναμικού; Η αξιολόγηση της υπηρεσιακής επάρκειας των υπαλλήλων; Η δημοσίευση προκήρυξης θέσεων και η έναρξη διαδικασίας προσλήψεων προσωπικού; Η οριστικοποίηση του ετήσιου προϋπολογισμού του δημοσίου; Η ολοκλήρωση της αναδιάρθρωσης των οργανικών μονάδων του φορέα;Β
14. Στις κύριες αρμοδιότητες του Ανώτατου Συμβουλίου Επιλογής Προσωπικού (Σ.Ε.Π.) ΔΕΝ περιλαμβάνεται: ; Η επιλογή του τακτικού προσωπικού του δημόσιου και ευρύτερου δημόσιου τομέα ; Η διαδικασία των αποσπάσεων του τακτικού προσωπικού του δημόσιου και ευρύτερου δημόσιου τομέα ; Ο έλεγχος των διαδικασιών πρόσληψης προσωπικού με σύμβαση εργασίας ορισμένου χρόνου ή της απασχόλησης με σύμβαση μίσθωσης έργου που διεξάγουν φορείς του δημόσιου και ευρύτερου δημόσιου τομέα;  Η διενέργεια επιθεωρήσεων ελέγχων για τον έλεγχο της τήρησης των περί προσλήψεων διατάξεων;Β
15. Ποια από τις παρακάτω διαδικασίες του δημοσίου τομέα ΔΕΝ εμπίπτει στις αρμοδιότητες του Ανώτατου Συμβουλίου Επιλογής Προσωπικού (Σ.Ε.Π.); Η διενέργεια πανελλήνιου γραπτού διαγωνισμού για την πρόσληψη τακτικού προσωπικού των Ανεξάρτητων Αρχών; Ο έλεγχος των διαδικασιών πρόσληψης προσωπικού με σύμβαση εργασίας ιδιωτικού δικαίου ορισμένου χρόνου στους Οργανισμούς Τοπικής Αυτοδιοίκησης (Ο.Τ.); Ο έλεγχος ενστάσεων υποψηφίων αναφορικά με τη μοριοδότηση των προσόντων τους στο πλαίσιο προκήρυξης για κάλυψη θέσεων νοσηλευτών/τριών; Η επιλογή των Προϊσταμένων Γενικών Διευθύνσεων στους φορείς του δημοσίου, που διενεργείται από όργανα όπου απλώς μετέχει το Α.Σ.Ε.Π.;Δ
