Ερώτηση;Α;Β;Γ;Δ;Σωστή
1. Ποια από τις παρακάτω επιλογές περιγράφει τη λειτουργία της μνήμης RAM;α. Μόνιμη αποθήκευση δεδομένων;β. Προσωρινή αποθήκευση δεδομένων που χρησιμοποιεί ο επεξεργαστής;γ. Σύνδεση του υπολογιστή στο διαδίκτυο;δ. Διαχείριση της ανάλυσης γραφικών;Β
2. Ποιο από τα παρακάτω μεγέθη εκφράζει τη συχνότητα λειτουργίας μιας CPU;α. Bits;β. Gigabytes (GB);γ. Gigahertz (GHz);δ. Megapixels (MP);Γ
3. Ποια είναι η κύρια διαφορά μεταξύ ενός σκληρού δίσκου (HDD) και ενός SSD;α. Οι SSD είναι πιο αργοί από τους HDD;β. Οι HDD χρησιμοποιούν κινούμενα μέρη, ενώ οι SSD όχι;γ. Οι HDD καταναλώνουν λιγότερη ενέργεια από τους SSD;δ. Οι SSD έχουν μεγαλύτερη χωρητικότητα από τους HDD;Β
4. Ποια θύρα χρησιμοποιείται συνήθως για τη σύνδεση εξωτερικών συσκευών, όπως εκτυπωτές και εξωτερικοί δίσκοι;α. HDMI;β. USB;γ. Ethernet;δ. VGA;Β
5. Ποιο από τα παρακάτω αποτελεί βασικό χαρακτηριστικό των υπερυπολογιστών (supercomputers);α. Χρησιμοποιούνται για καθημερινές εργασίες γραφείου;β. Εκτελούν εξαιρετικά πολύπλοκους υπολογισμούς ταχύτατα;γ. Είναι φθηνότεροι από τους επιτραπέζιους υπολογιστές;δ. Λειτουργούν μόνο με ανανεώσιμες πηγές ενέργειας;Β
6. Σε ποιο επίπεδο μνήμης η CPU προσπελαύνει δεδομένα με τη μεγαλύτερη ταχύτητα;α. Σκληρός Δίσκος (HDD);β. RAM;γ. Κρυφή Μνήμη (Cache);δ. USB Flash Drive;Γ
7. Ποιο είναι το κύριο χαρακτηριστικό του λογισμικού ανοικτού κώδικα;α. Είναι μη εκτελέσιμο σε Windows;β. Ο πηγαίος κώδικας είναι διαθέσιμος για τροποποίηση;γ. Είναι πάντα δωρεάν;δ. Δεν απαιτεί εγκατάσταση;Β
8. Ποιο από τα παρακάτω ΔΕΝ είναι διανομή Linux;α. Ubuntu;β. Fedora;γ. Safari;δ. Debian;Γ
9. Ποιο λειτουργικό σύστημα είναι γνωστό για τη γραμμή εντολών (Terminal CLI);α. Windows;β. MacOS;γ. Linux;δ. Όλες οι λοιπές απαντήσεις;Γ
10. Ποιο από τα παρακάτω είναι λειτουργικό σύστημα;α. Microsoft Excel;β. Mozilla Firefox;γ. Ubuntu;δ. Adobe Photoshop;Γ
