Ερώτηση;Α;Β;Γ;Δ;Σωστή
1. ΔΕΝ αποτελεί γενική αρχή του Διοικητικού Δικαίου:;α. Η χρηστή διοίκηση;β. Η χρονική προτεραιότητα;γ. Η προστατευομένη εμπιστοσύνη του/της διοικουμένου/ης;δ. Η αμεροληψία των οργάνων της διοίκησης;Β
2. Οι γενικές αρχές διοικητικού δικαίου:;α. Είναι διατυπωμένες σε συγκεκριμένο συνταγματικό κείμενο;β. Είναι θεωρητικές κατασκευές προς υποβοήθηση της έρευνας της διοικητικής επιστήμης;γ. Προκύπτουν από το σύνολο της νομοθεσίας που ρυθμίζει θέματα οργάνωσης και λειτουργίας των διοικητικών οργάνων;δ. Προκύπτουν μόνο από το σύνολο της νομολογίας των διοικητικών δικαστηρίων;Γ
3. Συντελείται παράλειψη οφειλόμενης νόμιμης ενέργειας του διοικητικού οργάνου στην περίπτωση:;α. Παράλειψης του διοικητικού οργάνου να αποφανθεί επί διοικητικής προσφυγής;"β. Όταν το διοικητικό όργανο δεν εκδίδει πράξη ως επιτάσσεται κατά τις οικείες διατάξεις";γ. Σιωπηρής άρνησης της διοίκησης να ανακαλέσει παράνομη πράξη ενώ δεν προβλέπεται σχετική υποχρέωση ανάκλησης.;δ. Ρητής ή σιωπηρής άρνησης του ενεργούντος κατά διακριτική ευχέρεια διοικητικού οργάνου.;Β
4. Ανακλητική διοικητική πράξη εκδίδει:;α. Το όργανο που την εξέδωσε ή που είναι αρμόδιο κατά το χρόνο έκδοσης της ανακλητικής πράξης;β. Το συγκεκριμένο φυσικό πρόσωπο του οποίου την υπογραφή φέρει η ανακαλούμενη πράξη;γ. Ειδικά συνεστημένο όργανο προς το σκοπό αυτό;δ. Ιεραρχικά ανώτερο όργανο από το όργανο που εξέδωσε την ανακαλούμενη πράξη;Α
5. Η ισχύς διοικητικής πράξης λήγει:;α. Όταν παρέλθει η προθεσμία ισχύος της;β. Όταν εκλείψει το αντικείμενο ρύθμισης της πράξης;γ. Όταν ανακληθεί η πράξη και η ανάκληση ενεργεί για το μέλλον;δ. Όλες οι λοιπές απαντήσεις;Δ
6. Κανονιστικού χαρακτήρα πράξη, για την οποία δεν τηρήθηκαν οι απαιτούμενες διατυπώσεις δημοσιότητας στην Εφημερίδα της Κυβερνήσεως:";α. Αποκτά χαρακτήρα ατομικής πράξης;β. Λογίζεται ως ατομική πράξη γενικού περιεχομένου;γ. Έχει νόμιμη υπόσταση;δ. Είναι ανυπόστατη;Δ
7. Διοικητική πράξη, η οποία εκδίδεται χωρίς νέα ουσιαστική έρευνα των πραγματικών δεδομένων, με την οποία δηλώνεται η εμμονή της Διοίκησης σε προγενέστερη πράξη της είναι:";α. Διαπιστωτική;β. Εκτελεστή;γ. Βεβαιωτική;δ. Συστατική;Γ
8. Πράξη αναρτητέα στο Πρόγραμμα «ΔΙΑΥΓΕΙΑ», που δεν είναι κατά νόμο δημοσιευτέα στην Εφημερίδα της Κυβερνήσεως:";α. Δεν ισχύει μέχρι την ανάρτησή της στο «ΔΙΑΥΓΕΙΑ»;β. Ισχύει από την έκδοσή της;γ. Ισχύει από την έκδοσή της αρκεί ακολούθως να τηρηθεί ο συγκεκριμένος τύπος δημοσιότητας περί αναρτήσεως στο «ΔΙΑΥΓΕΙΑ»;δ. Η ισχύς της δεν συνδέεται με την ανάρτηση ή μη της πράξης στο «ΔΙΑΥΓΕΙΑ»;Α
9. Η παράλειψη ή η πλημμελής κοινοποίηση ατομικής διοικητικής πράξης στον διοικούμενο:;α. Επάγεται την ακυρότητα της πράξης;β. Αποτελεί παράβαση ουσιώδους τύπου της διαδικασίας;γ. Επηρεάζει το κύρος της και δεν παράγει έννομα αποτελέσματα;δ. Επηρεάζει μόνο την έναρξη της προθεσμίας προσβολής της με τα ένδικα μέσα ή τις ενδικοφανείς προσφυγές που τυχόν προβλέπονται;Δ
10. Τρόπος δημοσίευσης στην Εφημερίδα της Κυβερνήσεως των κανονιστικών διοικητικών πράξεων:;α. Με απλή αναφορά των κύριων στοιχείων της.;β. Με δημοσίευση κειμένου περίληψης αυτών.;γ. Με αυτούσια δημοσίευσή τους.;δ. Όλες οι λοιπές απαντήσεις;Δ
