Ερώτηση;Α;Β;Γ;Δ;Σωστή
1. Υπάρχει κάποια από τις τρεις ιδρυτικές των Ευρωπαϊκών Κοινοτήτων συνθήκες που να ισχύει μέχρι και σήμερα; Όχι, καμία;Ναι η Συνθήκη για την Ευρωπαϊκή Κοινότητα Άνθρακα και Χάλυβα (ΕΚΑΧ)";"Ναι η Συνθήκη για την Ευρωπαϊκή Οικονομική Κοινότητα (ΕΟΚ)";"Ναι; η Συνθήκη για την Ευρωπαϊκή Κοινότητα Ατομικής Ενέργειας (ΕΚΑΕ)";Δ
2. Πόσα είναι σήμερα τα κράτη μέλη της Ευρωπαϊκής Ένωσης;α. Είκοσι τρία (23);β. Είκοσι επτά (27);γ. Είκοσι οχτώ (28);δ. Τριάντα (30);Β
3. Ποιο από τα παρακάτω κράτη-μέλη της Ευρωπαϊκής Ένωσης ΔΕΝ είναι μέλος της ζώνης Σένγκεν;α. Η Κροατία;β. Η Κύπρος;γ. Η Σουηδία;δ. Η Φινλανδία;Β
4. Σε ποιον από τους παρακάτω διεθνείς οργανισμούς είναι μέλος η Ευρωπαϊκή Ένωση;α. Στον Οργανισμό Ηνωμένων Εθνών (ΟΗΕ);β. Στον Παγκόσμιο Οργανισμό Εμπορίου (ΠΟΕ);γ. Στον Οργανισμό του Συμφώνου του Βορείου Ατλαντικού (ΝΑΤΟ);δ. Στον Οργανισμό Οικονομικής Συνεργασίας και Ανάπτυξης (ΟΟΣΑ);Β
5. Οι πολίτες της Ευρωπαϊκής Ένωσης που διαμένουν σε κράτος διαφορετικό από εκείνο της ιθαγένειάς τους:;α. Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές και στις ευρωπαϊκές εκλογές;"β. Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές; όχι όμως στις ευρωπαϊκές εκλογές";"γ. Έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις ευρωπαϊκές; όχι όμως στις δημοτικές εκλογές";δ. Δεν έχουν το δικαίωμα εκλέγειν και εκλέγεσθαι στις δημοτικές και στις ευρωπαϊκές εκλογές;Α
6. Οι ελευθερίες της εσωτερικής αγοράς δεν περιλαμβάνουν:;α. Την ελεύθερη κυκλοφορία κεφαλαίων;β. Την ελευθερία του επιχειρείν;γ. Την ελευθερία εγκατάστασης;δ. Την ελεύθερη κυκλοφορία εμπορευμάτων ;Β
7. Το απορρέον από την ιθαγένεια της Ευρωπαϊκής Ένωσης δικαίωμα ελεύθερης κυκλοφορίας και διαμονής στην επικράτεια των κρατών-μελών επιτρέπεται να περιορισθεί για λόγους:;α. Δημόσιας τάξης και δημόσιας υγείας;β. Δημόσιας τάξης, δημόσιας ασφάλειας και δημόσιας υγείας;γ. Δημόσιας τάξης και δημόσιας ηθικής;δ. Δημόσιας ασφάλειας και δημόσιας υγείας;Β
8. Σε ποιον από τους παρακάτω τομείς πολιτικής η Ευρωπαϊκή Ένωση διαθέτει συντρέχουσα αρμοδιότητα:;α. Προστασία και βελτίωση της ανθρώπινης υγείας;β. Πολιτική προστασία;γ. Νομισματική πολιτική;δ. Εσωτερική αγορά;Δ
9. Στους τομείς των μεταφορών και της ενέργειας:;α. Η Ευρωπαϊκή Ένωση έχει αποκλειστική αρμοδιότητα;β. Η Ευρωπαϊκή Ένωση έχει συντρέχουσα αρμοδιότητα με τα κράτη μέλη;γ. Η Ευρωπαϊκή Ένωση στερείται αρμοδιότητας.;"δ. Η Ευρωπαϊκή Ένωση έχει αρμοδιότητα να αναλαμβάνει δράσεις για να υποστηρίζει; να συμπληρώνει ή να συντονίζει τη δράση των κρατών μελών";Β
10. Στην Ευρωπαϊκή Ένωση η οικονομική πολιτική αποτελεί τομέα:";α. Αποκλειστικής εθνικής αρμοδιότητας;β. Αποκλειστικής αρμοδιότητας της Ευρωπαϊκής Ένωσης;γ. Συντρέχουσας αρμοδιότητας Ένωσης και κρατών μελών;δ. Εθνικής αρμοδιότητας όπου η Ευρωπαϊκή Ένωση αναπτύσσει συντονιστική δράση;Δ
11. Ο προϋπολογισμός της Ευρωπαϊκής Ένωσης:;α. Καταρτίζεται από το Ευρωπαϊκό Κοινοβούλιο και εκτελείται από την Ευρωπαϊκή Επιτροπή σε συνεργασία με τα κράτη-μέλη;β. Καταρτίζεται από το Ευρωπαϊκό Κοινοβούλιο και το Συμβούλιο των Υπουργών και εκτελείται από την Ευρωπαϊκή Επιτροπή σε συνεργασία με τα κράτη-μέλη;γ. Καταρτίζεται από το Ευρωπαϊκό Συμβούλιο και εκτελείται από την Ευρωπαϊκή Επιτροπή σε συνεργασία με τα κράτη-μέλη;δ. Καταρτίζεται από το Ευρωπαϊκό Κοινοβούλιο και την Ευρωπαϊκή Επιτροπή και εκτελείται από την Ευρωπαϊκή Επιτροπή σε συνεργασία με τα κράτη-μέλη;Β
12. Ο Χάρτης Θεμελιωδών Δικαιωμάτων της Ευρωπαϊκής Ένωσης:;α. Δεσμεύει τα ενωσιακά όργανα αλλά και τα κρατικά όργανα όταν εφαρμόζουν ενωσιακό δίκαιο;β. Δεσμεύει τα ενωσιακά όργανα και όχι τα κρατικά όργανα;γ. Δεσμεύει τα κρατικά όργανα και όχι τα ενωσιακά όργανα;δ. Δεσμεύει μόνο τα κράτη που έχουν υπογράψει την Ευρωπαϊκή Σύμβαση των Δικαιωμάτων του Ανθρώπου (ΕΣΔΑ) Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 27 από 69;Α
13. Για την προσχώρηση ενός νέου κράτους μέλους στην Ευρωπαϊκή Ένωση ΔΕΝ απαιτείται:;α. Έγκριση του Ευρωπαϊκού Κοινοβουλίου;β. Κύρωση της συνθήκης προσχώρησης από το υπό προσχώρηση κράτος σύμφωνα με τις συνταγματικές διαδικασίες του;γ. Κύρωση της συνθήκης προσχώρησης από το ελληνικό κοινοβούλιο;δ. Κύρωση της συνθήκης προσχώρησης από την Ευρωπαϊκή Επιτροπή;Δ
14. Ποιες είναι οι πράξεις του παράγωγου δικαίου της Ένωσης;,"α. Οι κανονισμοί, οι οδηγίες, οι διατάξεις και οι συστάσεις";"β. Οι κανονισμοί, οι οδηγίες και οι αποφάσεις";"γ. Οι κανονισμοί, οι οδηγίες; οι συστάσεις και οι γνώμες";"δ. Οι κανονισμοί, οι οδηγίες, οι αποφάσεις, οι συστάσεις και οι γνώμες";Δ
15. Οι ευρωπαϊκοί κανόνες δικαίου αμέσου αποτελέσματος:;α. Δεν περιέχονται ποτέ σε οδηγίες;β. Πρέπει να λαμβάνονται υπόψιν από τα εθνικά δικαστήρια των κρατών μελών ακόμη και εάν δεν έχουν μεταφερθεί ή δε έχουν μεταφερθεί ορθά στο εθνικό τους δίκαιο;γ. Παρέχουν στην Ευρωπαϊκή Επιτροπή την εξουσία να εκδίδει ατομικές αποφάσεις για συγκεκριμένες περιπτώσεις που εμπίπτουν σε αυτούς;δ. Εμπεριέχονται μόνο σε κανονισμούς;Β
16. Σε ποιο από τα παρακάτω όργανα της Ευρωπαϊκής Ένωσης ανήκει η νομοθετική πρωτοβουλία;α. Ευρωπαϊκό Συμβούλιο;β. Ευρωπαϊκό Κοινοβούλιο;γ. Ευρωπαϊκή Επιτροπή;δ. Συμβούλιο;Γ
17. Ποιο από τα παρακάτω χαρακτηριστικά ΔΕΝ διαθέτει ο Κανονισμός;α. Έχει άμεση ισχύ;β. Έχει γενική ισχύ;γ. Δεσμεύει μόνο τα κράτη μέλη στα οποία απευθύνεται;δ. Είναι δεσμευτικός ως προς όλα του τα μέρη;Γ
18. Η έκδοση ποιας από τις παρακάτω πράξεις ΔΕΝ συνιστά ορθή μεταφορά οδηγίας στο ελληνικό δίκαιο;α. Νόμου;β. Προεδρικού Διατάγματος;γ. Κοινής Υπουργικής Απόφασης;δ. Εγκυκλίου;Δ
19. Η αρχή της υπεροχής του δικαίου της Ευρωπαϊκής Ένωσης σημαίνει ότι: ; α. Τα εθνικά δικαστήρια κάθε κράτους μέλους οφείλουν να εφαρμόζουν άμεσα όλους τους κανόνες δικαίου της Ευρωπαϊκής Ένωσης;"β. Σε περίπτωση σύγκρουσης μιας πτυχής του δικαίου της Ευρωπαϊκής Ένωσης και μιας πτυχής του εθνικού δικαίου; το δίκαιο της Ευρωπαϊκής Ένωσης υπερισχύει";"γ. Διατάξεις του δικαίου της Ευρωπαϊκής Ένωσης μπορούν να ακυρώσουν εθνικές διατάξεις; οι οποίες παύουν να ισχύουν αυτομάτως";δ. Το Δικαστήριο της Ευρωπαϊκής Ένωσης έχει πάντοτε δικαιοδοσία να απαντά σε οποιοδήποτε ερώτημα του τίθεται από τα εθνικά δικαστήρια των κρατών μελών;Β
20. Σε ποια από τις παρακάτω διαδικασίες το πρωτογενές δίκαιο της Ευρωπαϊκής Ένωσης ΔΕΝ προβλέπει την οποιαδήποτε ανάμειξη (ούτε καν ενημέρωση) των εθνικών κοινοβουλίων;α. Προσχώρηση κράτους-μέλους;β. Αποχώρηση κράτους-μέλους;γ. Έκδοση πράξης του παράγωγου δικαίου σύμφωνα με τη συνήθη νομοθετική διαδικασία.;δ. Τροποποίηση της Συνθήκης για την Ευρωπαϊκή Ένωση και της Συνθήκης για τη λειτουργία της Ευρωπαϊκής Ένωσης σύμφωνα με τη συνήθη διαδικασία αναθεώρησης;Β
21. Πώς ορίζεται η έδρα των οργάνων της Ευρωπαϊκής Ένωσης;"α. Με κλήρωση, διενεργούμενη από τον πρόεδρο του Δικαστηρίου της Ευρωπαϊκής Ένωσής μεταξύ των κρατών-μελών που έχουν εκδηλώσει σχετικό ενδιαφέρον";β. Από το Ευρωπαϊκό Κοινοβούλιο με την απόλυτη πλειοψηφία των μελών που το απαρτίζουν;γ. Με κοινή συμφωνία των κυβερνήσεων των κρατών-μελών;"δ. Από το Συμβούλιο των Υπουργών; το οποίο αποφασίζει με ειδική πλειοψηφία";Γ
22. Ποιο είναι το κύριο όργανο λήψης αποφάσεων της Ευρωπαϊκής Ένωσης;α. Το Ευρωπαϊκό Συμβούλιο;β. Το Ευρωπαϊκό Κοινοβούλιο;γ. Το Συμβούλιο;δ. Το Ευρωπαϊκό Κοινοβούλιο και το Συμβούλιο;Δ
23. Ποιος έχει το γενικό τεκμήριο νομοθετικής αρμοδιότητας στην ενωσιακή έννομη τάξη;α. Τα κράτη μέλη;β. Το Ευρωπαϊκό Συμβούλιο;γ. Η Ευρωπαϊκή Ένωση;δ. Δεν υπάρχει γενικό τεκμήριο αρμοδιότητας στην Ευρωπαϊκή Ένωση;Α
24. Ο/Η Πρόεδρος της Ευρωπαϊκής Επιτροπής συμμετέχει αυτοδικαίως:;α. Στο Συμβούλιο Γενικών Υποθέσεων;β. Στο Συμβούλιο Εξωτερικών Υποθέσεων;γ. Στο Ευρωπαϊκό Συμβούλιο;δ. Στο Διοικητικό Συμβούλιο της Ευρωπαϊκής Κεντρικής Τράπεζας; Γ
25. Οι αρμοδιότητες της Ευρωπαϊκής Επιτροπής ΔΕΝ περιλαμβάνουν:;α. Την έκδοση προτάσεων νομοθετικών μέτρων;β. Την εφαρμογή των κανόνων της Συνθήκης για τον ανταγωνισμό;γ. Την προετοιμασία των συμπερασμάτων των συνόδων του Ευρωπαϊκού Συμβουλίου;δ. Την κατανομή των χρηματοδοτικών πόρων της Ευρωπαϊκής Ένωσης;Γ
26. Ο/Η Ύπατος Εκπρόσωπος της Ευρωπαϊκής Ένωσης για θέματα εξωτερικής πολιτικής και πολιτικής ασφαλείας είναι ένας εκ των αντιπροέδρων:;α. Του Ευρωπαϊκού Συμβουλίου;β. Του Συμβουλίου των Υπουργών;γ. Της Ευρωπαϊκής Επιτροπής;δ. Του Ευρωπαϊκού Κοινοβουλίου;Γ
27. Ποιο από τα παρακάτω ΔΕΝ είναι όργανο της Ευρωπαϊκής Ένωσης;α. Ευρωπαϊκό Συμβούλιο;β. Συμβούλιο της Ευρώπης;γ. Ευρωπαϊκή Κεντρική Τράπεζα;δ. Ευρωπαϊκό Ελεγκτικό Συνέδριο;Β
28. Ποιο τα παρακάτω όργανα της Ευρωπαϊκής Ένωσης ΔΕΝ ανήκει στα κύρια όργανα λήψης αποφάσεων κατά τη συνήθη νομοθετική διαδικασία;α. Το Συμβούλιο;β. Η Ευρωπαϊκή Επιτροπή;γ. Το Ευρωπαϊκό Συμβούλιο;δ. Το Ευρωπαϊκό Κοινοβούλιο;Γ
29. Στο πλαίσιο της συνήθους νομοθετικής διαδικασίας, η έκδοση μίας νομοθετικής πράξης της Ευρωπαϊκής Ένωσης μπορεί να εμποδιστεί:;","α. Από το Ευρωπαϊκό Κοινοβούλιο, όχι όμως και από το Συμβούλιο";"β. Από το Συμβούλιο, όχι όμως και από το Ευρωπαϊκό Κοινοβούλιο";γ. Τόσο από το Ευρωπαϊκό Κοινοβούλιο όσο και από το Συμβούλιο;"δ. Ούτε από το Ευρωπαϊκό Κοινοβούλιο ούτε από το Συμβούλιο, αλλά μόνον να αποσυρθεί από την Ευρωπαϊκή Επιτροπή";Γ
