Ερώτηση;Α;Β;Γ;Δ;Σωστή
"1. Ας υποθέσουμε ότι βρίσκετε στο δρόμο ένα χαρτονόμισμα των 20 Ευρώ. Εάν επιλέξετε να το χρησιμοποιήσετε για να προμηθευτείτε ένα εισιτήριο και να πάτε στο θέατρο; το κόστος ευκαιρίας παρακολούθησης της παράστασης είναι:";"α. Κανένα; διότι το χαρτονόμισμα των 20 Ευρώ το βρήκατε";β. 20 ευρώ (διότι θα μπορούσατε να χρησιμοποιήσετε το 20 Ευρώ για κάτι άλλο);γ. 20 ευρώ (διότι θα μπορούσατε να χρησιμοποιήσετε το 20 Ευρώ για κάτι άλλο) ΣΥΝ την αξία του χρόνου που αντιστοιχεί στην παρακολούθηση της παράστασης;δ. 20 ευρώ (διότι θα μπορούσατε να χρησιμοποιήσετε το 20 Ευρώ για κάτι άλλο) ΜΕΙΟΝ την αξία του χρόνου που αντιστοιχεί στην παρακολούθηση της παράστασης;
"2. Σε ποια περιοχή του υποδείγματος της καμπύλης παραγωγικών δυνατοτήτων θεωρείτε ότι οι συνδυασμοί αντιστοιχούν σε ανεργία;";α. Σε όλα τα σημεία που βρίσκονται επί της καμπύλης;β. Στα σημεία που βρίσκονται στην περιοχή άνω και δεξιά της καμπύλης;γ. Στα σημεία που βρίσκονται εντός της περιοχής που ορίζεται από την καμπύλη;δ. Καμία από τις λοιπές περιπτώσεις δεν είναι σωστή;
3. Ποια από τις παρακάτω προτάσεις είναι σωστή αναφερόμενη στην Καμπύλη Παραγωγικών Δυνατοτήτων:;α. Τα σημεία επί της καμπύλης καταδεικνύουν τι και πόσο θα παραχθεί και πώς θα διανεμηθεί ο εκάστοτε παραχθείς συνδυασμός προϊόντων;β. Τα σημεία άνω και δεξιά της καμπύλης καταδεικνύουν παραγωγικά εφικτούς και αποδοτικούς συνδυασμούς προϊόντων;"γ. Τα σημεία εντός της περιοχής που προσδιορίζεται από την καμπύλη; καταδεικνύουν εφικτούς μεν αλλά μη αποδοτικούς συνδυασμούς προϊόντων";δ. Καμία από τις λοιπές προτάσεις δεν είναι σωστή;
"4. Με ποιόν από τους παρακάτω τρόπους απεικονίζεται η Καμπύλη Παραγωγικών Δυνατοτήτων στην περίπτωση αυξανόμενου κόστους ευκαιρίας;";α. Με καμπύλη γραμμικής μορφής αρνητικής κλίσης;β. Με καμπύλη κοίλη προς την αρχή των αξόνων;γ. Με καμπύλη κυρτή προς τη γραμμή των αξόνων;δ. Με καμπύλη γραμμικής μορφής θετικής κλίσης;
5. Μία μετατόπιση της καμπύλης παραγωγικών δυνατοτήτων μίας οικονομίας μπορεί να προκληθεί από:;α. Πληθωρισμό;β. Αλλαγή στην παραγωγικότητα των συντελεστών παραγωγής;γ. Αλλαγή στον συνδυασμό των ποσοτήτων των παραγόμενων προϊόντων;δ. Μεταβολή στις καταναλωτικές προτιμήσεις Πέμπτη 3 Ιουλίου 2025 έως και Δευτέρα 14 Ιουλίου 2025 Σελίδα 36 από 69;
"6. Με ποιόν από τους παρακάτω τρόπους απεικονίζεται η Καμπύλη Παραγωγικών Δυνατοτήτων στην περίπτωση σταθερού κόστους ευκαιρίας;";α. Με καμπύλη γραμμικής μορφής αρνητικής κλίσης;β. Με καμπύλη κοίλη προς την αρχή των αξόνων;γ. Με καμπύλη κυρτή προς τη γραμμή των αξόνων;δ. Με καμπύλη γραμμικής μορφής θετικής κλίσης;
7. Ποια από τις ακόλουθες προτάσεις είναι αληθής σχετικά με την επίδραση της εισροής οικονομικών μεταναστών από το εξωτερικό στην καμπύλη παραγωγικών δυνατοτήτων (ΚΠΔ) της οικονομίας υποδοχής;;α. Η ΚΠΔ της οικονομίας υποδοχής μετατοπίζεται προς τα κάτω και αριστερά;β. Η ΚΠΔ της οικονομίας υποδοχής μετατοπίζεται προς τα πάνω και δεξιά;γ. Η ΚΠΔ της οικονομίας υποδοχής δεν επηρεάζεται;δ. Καμία από τις λοιπές προτάσεις δεν είναι σωστή;
8. Η Οικονομία της Αγοράς αναφέρεται:;α. Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται μέσω της αλληλεπίδρασης των νοικοκυριών και των επιχειρήσεων;β. Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται από την εκάστοτε κυβέρνηση;γ. Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται από την πλειοψηφία της Βουλής κατά την ψήφιση του Κρατικού Προϋπολογισμού;δ. Στο οικονομικό σύστημα μέσω του οποίου η κατανομή των μέσων παραγωγής προσδιορίζεται μέσω δημοψηφίσματος;
"9. Το πρόβλημα του τι θα παραχθεί σε μία σχεδιαζόμενη οικονομία, βρίσκει τη λύση του κυρίως:";α. Μέσω ενεργειών των καταναλωτών;β. Μέσω της ανάγκης μεγιστοποίησης του ατομικού συμφέροντος;γ. Μέσω των δυνάμεων της αγοράς;δ. Μέσω κατευθύνσεων του κράτους;
"10. Η ατομική καμπύλη ζήτησης μετατοπίζεται προς τα δεξιά; λόγω:";α. Μείωσης του εισοδήματος του καταναλωτή;β. Μείωσης του αριθμού των καταναλωτών;γ. Αύξησης της τιμής του υποκατάστατου αγαθού;δ. Αύξησης της τιμής του συμπληρωματικού αγαθού;
