Ερώτηση;Α;Β;Γ;Δ;Σωστή
 
1. Τα δεδομένα προσωπικού χαρακτήρα είναι:;α. Οι πληροφορίες για την οικογενειακή και ερωτική ζωή;β. Οι πληροφορίες υγείας;γ. Τα ηλεκτρονικά δεδομένα;"δ. Κάθε πληροφορία, η οποία δυνητικά ταυτοποιεί ένα φυσικό πρόσωπο";Δ
2. Το άρθρο 4 παρ.1 Συντ. σύμφωνα με το οποίο «οι Έλληνες είναι ίσοι ενώπιον του νόμου»:;α. Αναθεωρείται;β. Δεν αναθεωρείται;γ. Αναθεωρείται μερικώς;δ. Είναι δυνατή η κατάργησή του;Β
3. Το δικαίωμα επιλογής επαγγελματικής έδρας:;α. Αποτελεί έκφραση του δικαιώματος συμμετοχής στην οικονομική ζωή της Χώρας;β. Δεν αποτελεί έκφραση συμμετοχής στην οικονομική ζωή της Χώρας; γ .Δεν αποτελεί δικαίωμα;δ. Αποτελεί έκφραση του δικαιώματος εργασίας;Α
4. Το άρ. 2 παρ. 1 Συντ. σύμφωνα με το οποίο «ο σεβασμός και η προστασία της αξίας του ανθρώπου αποτελούν πρωταρχική υποχρέωση της Πολιτείας»:;α. Υπόκειται σε αναθεώρηση;β. Δεν υπόκειται σε αναθεώρηση;γ. Υπόκειται σε μερική αναθεώρηση;δ. Δεν υπόκειται σε αναθεώρηση αλλά ανανοηματοδοτείται από την Ευρωπαϊκή Σύμβαση Δικαιωμάτων του Ανθρώπου;Δ 
5. Τα κοινωνικά δικαιώματα προϋποθέτουν για να εκπληρωθούν:;α. Την παροχή του Κράτους;β. Την αποχή του Κράτους;γ. Την αναθεώρηση του Συντάγματος;δ. Τη συναίνεση Κυβέρνησης και αντιπολίτευσης;Α
6. Το Σύνταγμα κατοχυρώνει:;α. Την απόλυτη επαγγελματική ελευθερία;β. Την απαγόρευση των ιδιωτικοποιήσεων;γ. Την απόλυτη ελευθερία της έκφρασης;δ. Την αρχή της αειφορίας;Δ
7. Η αρχή της ισότητας:;α. Απαγορεύει τα θετικά μέτρα διάκρισης;β. Απαγορεύει την επεκτατική ισότητα;γ. Προϋποθέτει την όμοια ρύθμιση των όμοιων περιπτώσεων και την ανόμοια των ανόμοιων;δ. Δεν εφαρμόζεται σε περιόδους έκτακτης ανάγκης;Γ
8. Η ελευθερία της συνάθροισης:;Υπάγεται σε προηγούμενο έλεγχο σκοπιμότητας από την εκτελεστική εξουσία; Είναι απεριόριστη; Είναι δικαίωμα συλλογικής δράσης; Είναι ανώτερη από την ελευθερία της συνένωσης;Γ
9. Το δικαίωμα στην κοινωνική ασφάλιση; Απαγορεύει κάθε μείωση στις συντάξεις; Προϋποθέτει την κατοχύρωση δημόσιων οργανισμών ασφάλισης; Δεν κατοχυρώνεται στο Σύνταγμα, αλλά μόνο στη νομοθεσία; Δεν κατοχυρώνεται στο Σύνταγμα, αλλά στη νομολογία;Β
10. Η αρχή της ίσης ευκαιρίας συμμετοχής στις διαδικασίες πλήρωσης θέσεων στη δημόσια διοίκηση; Δεν έρχεται σε αντίθεση με την αξιοκρατική αρχή; Συνάδει με την αρχή της αντικειμενικότητας, αλλά εν τοις πράγμασι αναιρεί την αρχή της αξιοκρατίας; Συνάδει με την αρχή της κοινωνικής αλληλεγγύης, αλλά όχι με τις αρχές της διαφάνειας και της αξιοκρατίας; Συνάδει με τις αρχές της κοινωνικής αλληλεγγύης και της διαφάνειας, αλλά όχι με την αξιοκρατική αρχή";Α
11. Ποιοι από τους παρακάτω ΔΕΝ είναι φορείς ατομικών δικαιωμάτων; Τα ανήλικα άτομα; Οι τελούντες υπό δικαστική συμπαράσταση; Οι ανιθαγενείς;δ. Καμία από τις λοιπές απαντήσεις;Δ 
12. To Kράτος Δικαίου:;Είναι το Κράτος που έχει δίκαιο; Σέβεται τα θεμελιώδη δικαιώματα και τη διάκριση των εξουσιών; Είναι η βούληση της πλειοψηφίας; Δεν έχει συνταγματική κατοχύρωση;Β
13. Η αρχή της χρηστής διοίκησης:; Δεν είναι δεσμευτική; Είναι κανόνας δεοντολογίας; Απορρέει από την αρχή του κράτους δικαίου; Ισχύει μόνο στο ευρωπαϊκό δίκαιο;Γ
14. Οι Έλληνες/ίδες έχουν το δικαίωμα να συστήνουν σωματεία:; Εφόσον αυτά υπηρετούν το δημόσιο συμφέρον; Εφόσον δεν μετέχουν και σε συνδικαλιστική οργάνωση; Μετά από διοικητική άδεια; Μετά από έλεγχο νομιμότητας του καταστατικού;Δ
